Company,Mission,Vision,MV
Adobe Systems Incorporated,"Committed to expanding, strengthening and leveraging the diversity of our workforce. Our goal is to treat all employees with respect and integrity while valuing the differences and mirroring the diversity of the locations where we do business.",To revolutionize how the world engages with ideas and information.,"Committed to expanding, strengthening and leveraging the diversity of our workforce. Our goal is to treat all employees with respect and integrity while valuing the differences and mirroring the diversity of the locations where we do business. To revolutionize how the world engages with ideas and information."
ADT Corporation,,, 
"Advance Auto Parts, Inc."," To provide personal vehicle owners and enthusiasts with the vehicle related products and knowledge that fulfill their wants and needs at the right price. Our friendly, knowledgeable and professional staff will help inspire, educate and problem-solve for our customers. This will assist them in obtaining the appropriate accessories, diagnosing their vehicle operational problems and accomplishing their repair projects. And as a result, customers will love to shop at Advance Auto Parts Stores.",WE are the one of the leading plastic automotive parts manufacturer and hub of ASEAN market automotive parts with international standards onto worldwide.," To provide personal vehicle owners and enthusiasts with the vehicle related products and knowledge that fulfill their wants and needs at the right price. Our friendly, knowledgeable and professional staff will help inspire, educate and problem-solve for our customers. This will assist them in obtaining the appropriate accessories, diagnosing their vehicle operational problems and accomplishing their repair projects. And as a result, customers will love to shop at Advance Auto Parts Stores. WE are the one of the leading plastic automotive parts manufacturer and hub of ASEAN market automotive parts with international standards onto worldwide."
"Advanced Micro Devices, Inc."," We empower people everywhere to lead more productive lives. Mission: AMD produces integrated circuits, providing programmable products in concert with applications solutions to manufacturers of equipment for personal and networked computation and communication. To achieve success, AMD combines innovative concepts with leadership in process technology and design and manufacturing excellence to offer products and services that reduce the cost, improve the performance and shorten the time to market for our target customers worldwide. Successful accomplishment of this mission will enable AMD to grow faster and earn a higher return on equity than the semiconductor industry."," We at AMD share a vision of a world that is enhanced through information technology, which liberates the human mind and spirit. AMD is a leading supplier of critical enabling technology for the Information Age. In concert with our customers, we empower people everywhere to lead more productive lives by creating, processing, and communicating information and knowledge. We are our customers' favorite integrated circuit supplier. With a strong commitment to our core values and mission, we anticipate and respond quickly to changing customer needs while preserving a culture that brings out the best in each of us."," We empower people everywhere to lead more productive lives. Mission: AMD produces integrated circuits, providing programmable products in concert with applications solutions to manufacturers of equipment for personal and networked computation and communication. To achieve success, AMD combines innovative concepts with leadership in process technology and design and manufacturing excellence to offer products and services that reduce the cost, improve the performance and shorten the time to market for our target customers worldwide. Successful accomplishment of this mission will enable AMD to grow faster and earn a higher return on equity than the semiconductor industry.  We at AMD share a vision of a world that is enhanced through information technology, which liberates the human mind and spirit. AMD is a leading supplier of critical enabling technology for the Information Age. In concert with our customers, we empower people everywhere to lead more productive lives by creating, processing, and communicating information and knowledge. We are our customers' favorite integrated circuit supplier. With a strong commitment to our core values and mission, we anticipate and respond quickly to changing customer needs while preserving a culture that brings out the best in each of us."
AECOM Technology Corporation,"Mission is to enhance and sustain the world's built, natural and social environments. This partnership exemplifies our commitment to this mission, which will significantly improve the quality of life for the Libyan people.","AECOM is in the process of establishing a FORS Governance Board of key industry stakeholders, which will include TfL. FORS awards bronze, silver and gold accreditation to road fleet operators that provide evidence of enhanced safety, environmental and performance standards.","Mission is to enhance and sustain the world's built, natural and social environments. This partnership exemplifies our commitment to this mission, which will significantly improve the quality of life for the Libyan people. AECOM is in the process of establishing a FORS Governance Board of key industry stakeholders, which will include TfL. FORS awards bronze, silver and gold accreditation to road fleet operators that provide evidence of enhanced safety, environmental and performance standards."
"Aeropostale, Inc.",To optimize profitability by offering brand relevant product at compelling values. ,"To be the dominant, multi-brand promotional specialty retailer delivering on our promises to our customers, associates and shareholders. ","To optimize profitability by offering brand relevant product at compelling values.  To be the dominant, multi-brand promotional specialty retailer delivering on our promises to our customers, associates and shareholders. "
Aetna Inc.,"Helping people achieve health and financial security by providing easy access to safe, cost-effective, high-quality health care and protecting their finances against health-related risks. ","Aetna will be a leader cooperating with doctors and hospitals, employers, patients, public officials and others to build a stronger, more effective health care system.","Helping people achieve health and financial security by providing easy access to safe, cost-effective, high-quality health care and protecting their finances against health-related risks.  Aetna will be a leader cooperating with doctors and hospitals, employers, patients, public officials and others to build a stronger, more effective health care system."
Affinia Group Intermediate Holdings Inc.,"We will inspire our people, delight our customers and impress our investors with the world's most innovative aftermarket products and services that are of consistently high quality and always market competitive.","To become the recognized global leader in the design, manufacture and servicing of innovative replacement products and services needed by a great diversity of commercial and industrial markets all around the world.","We will inspire our people, delight our customers and impress our investors with the world's most innovative aftermarket products and services that are of consistently high quality and always market competitive. To become the recognized global leader in the design, manufacture and servicing of innovative replacement products and services needed by a great diversity of commercial and industrial markets all around the world."
Aflac Incorporated,To combine aggressive strategic marketing with quality products and services at competitive prices to provide the best insurance value for consumers.,"Helping RMEF protect Elk Country by protecting RMEF supporters, their families & their employees. RMEF supporters that are business owners can make Aflac available to their employees, at no direct cost to their company. Individual Supporters of RMEF can enroll in Aflac policies to protect themselves & their families.","To combine aggressive strategic marketing with quality products and services at competitive prices to provide the best insurance value for consumers. Helping RMEF protect Elk Country by protecting RMEF supporters, their families & their employees. RMEF supporters that are business owners can make Aflac available to their employees, at no direct cost to their company. Individual Supporters of RMEF can enroll in Aflac policies to protect themselves & their families."
AGCO Corporation,"Profitable growth through superior customer service, innovation, quality and commitment.",High-tech solutions for professional farmers feeding the world.,"Profitable growth through superior customer service, innovation, quality and commitment. High-tech solutions for professional farmers feeding the world."
"Agilent Technologies, Inc.",To help turn our customers' dreams of human advancement into reality. We are making those dreams real today at Agilent by helping to build a sustainable future., To provide key enabling technologies to advance the state of the art and help our customers achieve their business results.,To help turn our customers' dreams of human advancement into reality. We are making those dreams real today at Agilent by helping to build a sustainable future.  To provide key enabling technologies to advance the state of the art and help our customers achieve their business results.
AGL Resources Inc.,"Provide value and peace of mind to our customers around the reliability and maintenance of their home appliances, pipes, and wiring.",Transform the warranty industry by providing exceptional value and peace of mind through home service maintenance and leasing products. Serve the AGL Resources family and other aligned utilities by providing energy-related products and services to their customers.,"Provide value and peace of mind to our customers around the reliability and maintenance of their home appliances, pipes, and wiring. Transform the warranty industry by providing exceptional value and peace of mind through home service maintenance and leasing products. Serve the AGL Resources family and other aligned utilities by providing energy-related products and services to their customers."
"Air Products & Chemicals, Inc.","To develop lasting relationships with our customers and communities based on human qualities: an understanding of their needs, integrity and honesty in the way we do business, and a passion for exceeding expectations.","Our brand research tells us that the understanding of our people is the Air Products difference. Their integrity, understanding, and passion create the personality of Air Products as an organization.","To develop lasting relationships with our customers and communities based on human qualities: an understanding of their needs, integrity and honesty in the way we do business, and a passion for exceeding expectations. Our brand research tells us that the understanding of our people is the Air Products difference. Their integrity, understanding, and passion create the personality of Air Products as an organization."
"Airgas, Inc.",Exceeding Customer Expectations with Quality Products and Services.,Employing leading-edge technologies and  systems that allow customers in multiple industries to engage with us  through the sales channel that is best suited for them.,Exceeding Customer Expectations with Quality Products and Services. Employing leading-edge technologies and  systems that allow customers in multiple industries to engage with us  through the sales channel that is best suited for them.
AK Steel Holding Corporation,,"Dedicated to safely producing the highest quality steel products for our customers, delivering them on-time and providing them with outstanding service."," Dedicated to safely producing the highest quality steel products for our customers, delivering them on-time and providing them with outstanding service."
"Alaska Air Group, Inc.","At Alaska Airlines, our employees share an uncommon blend of integrity, professionalism, caring, resourcefulness, and spirit. Every day we strive to bring these values to life through behaviors and deeds that go above and beyond the ordinary - what we call ""North of Expected"" and Alaska spirit in action.To the people of Horizon Air, the Pacific Northwest is more than a place to do business - it's our home. Because of this, we have an innate interest in the welfare of the region and its people, and in doing all we can to make it an even better place.","Integrating sustainability into our planning and business operations is a new and challenging journey. We have chosen to embrace these challenges, and take on sustainability enhancements that are important to the environment, our communities, and the advancement of the airline industry.","At Alaska Airlines, our employees share an uncommon blend of integrity, professionalism, caring, resourcefulness, and spirit. Every day we strive to bring these values to life through behaviors and deeds that go above and beyond the ordinary - what we call ""North of Expected"" and Alaska spirit in action.To the people of Horizon Air, the Pacific Northwest is more than a place to do business - it's our home. Because of this, we have an innate interest in the welfare of the region and its people, and in doing all we can to make it an even better place. Integrating sustainability into our planning and business operations is a new and challenging journey. We have chosen to embrace these challenges, and take on sustainability enhancements that are important to the environment, our communities, and the advancement of the airline industry."
Albemarle Corporation,To be the best performing specialty chemical company by all metrics and standards.,,To be the best performing specialty chemical company by all metrics and standards. 
Alcoa Inc.,,, 
Alere Inc.,To empower individuals to take greater control of their health under the supervision of their healthcare providers.,"We give people the tools to confidently manage their own health, no matter where they are, and reinforce the connection to their doctor. If they are sick, they are improving; if they are healthy, they stay well. We are healthcare reform in practice.","To empower individuals to take greater control of their health under the supervision of their healthcare providers. We give people the tools to confidently manage their own health, no matter where they are, and reinforce the connection to their doctor. If they are sick, they are improving; if they are healthy, they stay well. We are healthcare reform in practice."
Aleris Corporation,"Focus on providing outstanding value to customers through delivery performance, quality, competitive prices and innovative product development.",To become a leading global provider of scrap-based aluminum and zinc products and services focused on generating the highest level of quality and productivity to exceed stakeholder expectations.,"Focus on providing outstanding value to customers through delivery performance, quality, competitive prices and innovative product development. To become a leading global provider of scrap-based aluminum and zinc products and services focused on generating the highest level of quality and productivity to exceed stakeholder expectations."
Alleghany Corporation,,, 
Allegheny Technologies Incorporated,,"To create the world's leading specialty materials company. The cornerstones of our value system are based on achieving the highest ethical standards, maintaining strong customer focus and providing exciting opportunities for our employees."," To create the world's leading specialty materials company. The cornerstones of our value system are based on achieving the highest ethical standards, maintaining strong customer focus and providing exciting opportunities for our employees."
"Allergan, Inc.","focused on discovering, developing and commercializing innovative pharmaceuticals, biologics and medical devices that enable people to live life to its greatest potential — to see more clearly, move more freely, express themselves more fully.",Our focus fosters deep engagement with medical specialists and we make it our business to listen closely to their needs so that together we can advance patient care. We combine this strategic focus with a diversified approach that enables us to follow our research and development into new specialty areas where unmet needs are significant. ,"focused on discovering, developing and commercializing innovative pharmaceuticals, biologics and medical devices that enable people to live life to its greatest potential — to see more clearly, move more freely, express themselves more fully. Our focus fosters deep engagement with medical specialists and we make it our business to listen closely to their needs so that together we can advance patient care. We combine this strategic focus with a diversified approach that enables us to follow our research and development into new specialty areas where unmet needs are significant. "
Alliance Data Systems Corporation,,, 
"Alliance Holdings GP, L.P.",1. Expanding Market Opportunities. 2. Low-Cost Producing Regions. 3. High-Return Organic Development Projects. 4. Disciplined Acquisitions.,,1. Expanding Market Opportunities. 2. Low-Cost Producing Regions. 3. High-Return Organic Development Projects. 4. Disciplined Acquisitions. 
"Alliance One International, Inc.",To be the preferred supplier of quality tobacco products and innovative solutions to the world's manufacturers and marketers of tobacco products. ,,To be the preferred supplier of quality tobacco products and innovative solutions to the world's manufacturers and marketers of tobacco products.  
Alliant Energy Corporation,"To deliver the energy and exceptional service that our customers and communities count on - safely, efficiently and responsibly.",,"To deliver the energy and exceptional service that our customers and communities count on - safely, efficiently and responsibly. "
Alliant Techsystems Inc.,,, 
"Allison Transmission Holdings, Inc.",,, 
Ally Financial Inc.,,, 
"Alpha Natural Resources, Inc.",,"1. Running Right it's what we do. -> We protect the safety and health of our employees, and watch out for one another.  Every employee is empowered to do the right thing at all times. 2. We aim to be the employer of choice. -> We provide a challenging work environment, where hard work and achievement are rewarded.  The more our people are involved, the more successful we become. We're in it for our customers. We build relationships with our customers by providing essential products and services that exceed their expectations. We make a difference. We demonstrate environmental excellence through operating practices that respect the land and minimize our impact on it.  We add to our communities by creating jobs, supporting local organizations and helping our neighbors. When we put it all together, everyone wins. We deliver consistent, industry leading financial results and earn the confidence of our shareholders, customers, employees and communities. We're ready for the future. We continually assess opportunities and risks to ensure we have options and a strategy to succeed.  We anticipate changes in the marketplace, and maintain the ability to move swiftly."," 1. Running Right it's what we do. -> We protect the safety and health of our employees, and watch out for one another.  Every employee is empowered to do the right thing at all times. 2. We aim to be the employer of choice. -> We provide a challenging work environment, where hard work and achievement are rewarded.  The more our people are involved, the more successful we become. We're in it for our customers. We build relationships with our customers by providing essential products and services that exceed their expectations. We make a difference. We demonstrate environmental excellence through operating practices that respect the land and minimize our impact on it.  We add to our communities by creating jobs, supporting local organizations and helping our neighbors. When we put it all together, everyone wins. We deliver consistent, industry leading financial results and earn the confidence of our shareholders, customers, employees and communities. We're ready for the future. We continually assess opportunities and risks to ensure we have options and a strategy to succeed.  We anticipate changes in the marketplace, and maintain the ability to move swiftly."
"Altria Group, Inc.","Altria Group’s overriding goal is to deliver superior returns to our shareholders over the long term by continuing to improve each of our operating companies  Kraft Foods, Philip Morris International and Philip Morris USA  and by taking action to maximize returns to shareholders over the long term, in a manner consistent with the interests of key stakeholders.",,"Altria Group’s overriding goal is to deliver superior returns to our shareholders over the long term by continuing to improve each of our operating companies  Kraft Foods, Philip Morris International and Philip Morris USA  and by taking action to maximize returns to shareholders over the long term, in a manner consistent with the interests of key stakeholders. "
"Amazon.com, Inc.","We seek to be Earth’s most customer-centric company for four primary customer sets: consumers, sellers, enterprises, and content creators.",To be earth's most customer centric company; to build a place where people can come to find and discover anything they might want to buy online.,"We seek to be Earth’s most customer-centric company for four primary customer sets: consumers, sellers, enterprises, and content creators. To be earth's most customer centric company; to build a place where people can come to find and discover anything they might want to buy online."
AMC Entertainment Inc.,To improve the lives of individuals affected by autism.,To be known for our commitment to innovation. ,To improve the lives of individuals affected by autism. To be known for our commitment to innovation. 
Amerco,,, 
Ameren Corporation,"To generate electricity, deliver electricity and distribute natural gas in a safe, reliable, efficient and environmentally sound manner.","Our vision is to be the recognized performance leader of the U.S. electric and gas utility industry. Being a performance leader means we will achieve operational excellence, industry-leading customer satisfaction and superior financial performance.","To generate electricity, deliver electricity and distribute natural gas in a safe, reliable, efficient and environmentally sound manner. Our vision is to be the recognized performance leader of the U.S. electric and gas utility industry. Being a performance leader means we will achieve operational excellence, industry-leading customer satisfaction and superior financial performance."
"American Axle & Manufacturing Holdings, Inc.",,, 
"American Eagle Outfitters, Inc.",,, 
"American Electric Power Company, Inc.","Bringing comfort to our customers, supporting business and commerce, and building strong communities.","An energy leader through programs and technologies that protect people, manage our impacts on the environment, promote energy efficiency, provide for customer control over electricity usage and provide for greater access to renewable forms of energy and advanced clean energy technologies. We will work with our regulators and other stakeholders to achieve this through an approach that maximizes the positive economic, social and environmental impacts of our operations.","Bringing comfort to our customers, supporting business and commerce, and building strong communities. An energy leader through programs and technologies that protect people, manage our impacts on the environment, promote energy efficiency, provide for customer control over electricity usage and provide for greater access to renewable forms of energy and advanced clean energy technologies. We will work with our regulators and other stakeholders to achieve this through an approach that maximizes the positive economic, social and environmental impacts of our operations."
American Express Company,"The mission of our program is to bring to life the American Express value of good corporate citizenship by supporting diverse communities in ways that enhance the company""s reputation with employees, customers, business partners and other stakeholders. We do this by supporting visionary not-for-profit organizations that are: Preserving and enriching our diverse cultural heritage.",To make American Express the world's most respected service brand.,"The mission of our program is to bring to life the American Express value of good corporate citizenship by supporting diverse communities in ways that enhance the company""s reputation with employees, customers, business partners and other stakeholders. We do this by supporting visionary not-for-profit organizations that are: Preserving and enriching our diverse cultural heritage. To make American Express the world's most respected service brand."
American Family Ins. Group,To be the most trusted and valued service-driven insurance company.,"To maximize customer value through industry-leading service, exceptional claims experiences and products that build long-term relationships.","To be the most trusted and valued service-driven insurance company. To maximize customer value through industry-leading service, exceptional claims experiences and products that build long-term relationships."
"American Financial Group, Inc.", Our purpose is to enable individuals and businesses to manage financial risk. We provide insurance products and services tailored to meet the specific and ever-changing financial risk exposures facing our customers. We build value for our investors through the strength of our customers' satisfaction and by consistently producing superior operating results.,"To deliver financial solutions that fulfill today's needs and tomorrow's dreams to be a trusted partner delivering long-term value to our customers, employees and investors."," Our purpose is to enable individuals and businesses to manage financial risk. We provide insurance products and services tailored to meet the specific and ever-changing financial risk exposures facing our customers. We build value for our investors through the strength of our customers' satisfaction and by consistently producing superior operating results. To deliver financial solutions that fulfill today's needs and tomorrow's dreams to be a trusted partner delivering long-term value to our customers, employees and investors."
"American International Group, Inc.","As a global financial services organization, we have committed our resources to developing products and services that address the needs of our clients as well as promote a corporate culture that values integrity, diversity, innovation and excellence.","We aim to be the provider of choice for insurance solutions and superior customer service in every corner of the world. As we do so, we follow a set of cultural principles that shape how we act both individually and together:    Innovation-> We encourage change, always pursuing promising opportunities for our clients, our partners and ourselves     World citizenship-> We embrace diversity and foster a culture that promotes teamwork and inclusion to pursue common good     Partnership-> We create the future by working together and with our clients in an atmosphere of trust and confidence      Integrity->At the heart of everything we do is an unshakable commitment to honesty, fairness and respect   ","As a global financial services organization, we have committed our resources to developing products and services that address the needs of our clients as well as promote a corporate culture that values integrity, diversity, innovation and excellence. We aim to be the provider of choice for insurance solutions and superior customer service in every corner of the world. As we do so, we follow a set of cultural principles that shape how we act both individually and together:    Innovation-> We encourage change, always pursuing promising opportunities for our clients, our partners and ourselves     World citizenship-> We embrace diversity and foster a culture that promotes teamwork and inclusion to pursue common good     Partnership-> We create the future by working together and with our clients in an atmosphere of trust and confidence      Integrity->At the heart of everything we do is an unshakable commitment to honesty, fairness and respect   "
American National Insurance Company,"We will earn the trust of our customers and of our diverse distribution partners by always acting with integrity and fairness, and by working to exceed expectations. We are committed to teamwork and continuous improvement in all that we do.We will be prudent stewards of our assets, conservative navigators of risk, and steadfast in our resolve to preserve and enhance our reputation for enduring strength and success.",To be a leading provider of financial products and services for current and future generations.,"We will earn the trust of our customers and of our diverse distribution partners by always acting with integrity and fairness, and by working to exceed expectations. We are committed to teamwork and continuous improvement in all that we do.We will be prudent stewards of our assets, conservative navigators of risk, and steadfast in our resolve to preserve and enhance our reputation for enduring strength and success. To be a leading provider of financial products and services for current and future generations."
"American Tire Distributors Holdings, Inc.",,, 
American Tower Corporation,"Create a customer-focused team environment where employees are respected and innovation is a state of mind. Deliver the highest level of customer service while providing safe, compliant and quality tower sites. Exceed yearly performance goals to create enduring success. Pursue meaningful opportunities to grow and strengthen the company.","To be the premier wireless infrastructure provider in the eyes of our employees, customers and communities, enabling the deployment of advanced services that make wireless communication possible everywhere.","Create a customer-focused team environment where employees are respected and innovation is a state of mind. Deliver the highest level of customer service while providing safe, compliant and quality tower sites. Exceed yearly performance goals to create enduring success. Pursue meaningful opportunities to grow and strengthen the company. To be the premier wireless infrastructure provider in the eyes of our employees, customers and communities, enabling the deployment of advanced services that make wireless communication possible everywhere."
"American Water Works Company, Inc.",To provide opportunities and open business doors to diverse suppliers who otherwise would not have been knowledgeable of contract opportunities with California American Water. ,"We will create, develop and maximize administrative procurement processes to include, educate, mentor and develop diverse suppliers. We will actively seek to provide contract opportunities to diverse suppliers who meet our high standards for product .","To provide opportunities and open business doors to diverse suppliers who otherwise would not have been knowledgeable of contract opportunities with California American Water.  We will create, develop and maximize administrative procurement processes to include, educate, mentor and develop diverse suppliers. We will actively seek to provide contract opportunities to diverse suppliers who meet our high standards for product ."
"Ameriprise Financial, Inc.",To help people feel confident about their financial future.,To be the most respected and referred financial services brand.,To help people feel confident about their financial future. To be the most respected and referred financial services brand.
AmerisourceBergen Corp.,"AmerisourceBergen's focus is to provide the best service in the pharmaceutical supply chain with continuously improving operational efficiencies and expanded offerings and programs. Mission: To build shareholder value by delivering pharmaceutical and healthcare products, services and solutions in innovative and cost effective ways. We will realize this mission by setting the highest standards in service, reliability, safety and cost containment in our industry.",To be the preferred partner to healthcare providers and pharmaceutical manufacturers.,"AmerisourceBergen's focus is to provide the best service in the pharmaceutical supply chain with continuously improving operational efficiencies and expanded offerings and programs. Mission: To build shareholder value by delivering pharmaceutical and healthcare products, services and solutions in innovative and cost effective ways. We will realize this mission by setting the highest standards in service, reliability, safety and cost containment in our industry. To be the preferred partner to healthcare providers and pharmaceutical manufacturers."
"AMETEK, Inc.",,, 
Amgen Inc.,"Amgen strives to serve patients by transforming the promise of science and biotechnology into therapies that have the power to restore health or even save lives. In everything we do, we aim to fulfill our mission to serve patients. And every step of the way, we are guided by the values that define us. ","Be Science-Based,Compete Intensely and Win,Create Value for Patients, Staff and Stockholders Be Ethical,Trust and Respect Each Other,Ensure Quality,Work in Teams,Collaborate, Communicate and Be Accountable by These values we are achieving our Goal.  ","Amgen strives to serve patients by transforming the promise of science and biotechnology into therapies that have the power to restore health or even save lives. In everything we do, we aim to fulfill our mission to serve patients. And every step of the way, we are guided by the values that define us.  Be Science-Based,Compete Intensely and Win,Create Value for Patients, Staff and Stockholders Be Ethical,Trust and Respect Each Other,Ensure Quality,Work in Teams,Collaborate, Communicate and Be Accountable by These values we are achieving our Goal.  "
Amica Mutual Insurance Co.,To create peace of mind and build enduring relationships.,To provide quality benefits and educational and prevention programming to employees and their families for optimal health.,To create peace of mind and build enduring relationships. To provide quality benefits and educational and prevention programming to employees and their families for optimal health.
"Amkor Technology, Inc.",To be the trusted global provider of reliable assembly and test manufacturing services and innovative solutions to semiconductor and microelectronics companies using advanced technology developed through close collaboration with our customers and other supply chain partners.,,To be the trusted global provider of reliable assembly and test manufacturing services and innovative solutions to semiconductor and microelectronics companies using advanced technology developed through close collaboration with our customers and other supply chain partners. 
Amphenol Corporation,,, 
AMR Corporation,To make a difference by caring for people in need.,"Outlines the values that guide the company and its employees. Our company Vision is comprised of three elements:  our mission, our values and our vision of the future.","To make a difference by caring for people in need. Outlines the values that guide the company and its employees. Our company Vision is comprised of three elements:  our mission, our values and our vision of the future."
"AmTrust Financial Services, Inc.",,, 
Anadarko Petroleum Corporation,"To deliver a competitive and sustainable rate of return to shareholders by developing, acquiring and exploring for oil and gas resources vital to the world's health and welfare.","To be the premier independent E&P company, most admired for its people, portfolio and performance.","To deliver a competitive and sustainable rate of return to shareholders by developing, acquiring and exploring for oil and gas resources vital to the world's health and welfare. To be the premier independent E&P company, most admired for its people, portfolio and performance."
"Analog Devices, Inc.",To be the world's best signal processing company.,To enriching people lives through signal processing technologies. We transform people experience with technology by bridging the analog and digital worlds.,To be the world's best signal processing company. To enriching people lives through signal processing technologies. We transform people experience with technology by bridging the analog and digital worlds.
Anixter International Inc.,To provide customized solutions that meet our customers' diverse needs.,"Expanding the role of traditional distribution through the constant expansion of product offerings, technical expertise and logistics and inventory services.","To provide customized solutions that meet our customers' diverse needs. Expanding the role of traditional distribution through the constant expansion of product offerings, technical expertise and logistics and inventory services."
ANN INC.,to inspire and connect with our clients to put their best selves forward every day’. .,"To make two distinct experiences united by a vision to make every woman look, feel and be her best.","to inspire and connect with our clients to put their best selves forward every day’. . To make two distinct experiences united by a vision to make every woman look, feel and be her best."
