doc,text
60,"@AmericanAir on plane for JFK-&gt;SFO, been sitting here for 1.5 hours waiting for push crew, how is this acceptable?"
61,@united that's not even an apology
62,@JetBlue I appreciate the credit for my troubles but the lack of personal response troubles me.
63,@united how long does it take for customer feedback to respond to a complaint?
64,@AmericanAir our flight was Cancelled Flightled and rebooked to United. You didn't give them accurate ticket number now we can't check in. #annoyed
65,@AmericanAir hi do you have a phone number to ring from uk regarding claim for our Late Flight flight departure claim amount agreed just had no
66,"@JetBlue after applying my new tag, she left my bag on the ground rather than loading on the conveyer belt..I had to walk back 50 yards"
67,@AmericanAir no private msg me and will provide details...u really need customer svc training for your staff
68,@USAirways how do you do that? You guys need to have much better communication. How? How can we do that?
69,"@USAirways Customer service is dead. Last wk, flts delayed/Cancelled Flighted. Bags lost 4 days. Last nt, flt delayed/Cancelled Flighted.  No meal voucher?"
70,@united sent DM's
71,@USAirways trying to use chairman upgrade cert for flt 740 on 2/26/14 but being told not an option with 10 open seats? How? Thanks
72,@AmericanAir my Mistake multibillion dollar company
73,"@United - Ridiculous to fly outdated 757s anywhere much less btwn IAH and SFO. No power ports, no  Wifi, no personal entertainment. TORTURE"
74,@SouthwestAir How can you get your TSA traveler ID added to your boarding pass? Why would it not be included as TSA precheck? Flying tomorro
75,@united Please stall flight 1535 out of ORD. I have to get to SNA tonight.
76,"@USAirways any chance u can help our family rebook their flight that was Cancelled Flightled, #4487?"
77,"@united is hiring - Flight Dispatcher - Chicago, IL (Network Operations Centerl) https://t.co/lio6oCpTEQ"
78,@united you advertise the flight and its still on you website and still can't be book. spent over 2 hours with united support
79,@AmericanAir I have never on all my trips on any airline ever nat'l or int'l ever experienced anything like this!
80,@USAirways 2 bad planes &amp; 3 gate changes= lots of exercise. #travelfail let's hope this plane works. I'm tired.
81,@united BTW is it true you have to remind flight staff after checking in even after indicating meal prefer on your reservation? +
82,"@USAirways What is with your lost &amp; found.  My wife lost her phone in Philly, &amp; followed your web instructions to call an 800#.  No answer."
83,@united delayed agAin by United. Gate agent was borderline rude when I asked her a flight status question. What is happening to United?
84,@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers
85,@USAirways - almost 2 hrs 30 mins on hold - any idea how much longer?
86,"@united Will do, cheers"
87,@USAirways we did. It added about seven hours to our day... So far... Want to take odds on our bags being on the carousel in KC? #notcool
88,@united &amp; finally he was told he couldnt use the front of plane restrm (he was row7) though myself/others in rows behind him used w/no issue
89,@AmericanAir not anymore.
90,@AmericanAir 767 seconds from touchdown at Madrid airport in April 2013 #AvGeek http://t.co/1yWXRfn0Gr
91,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.
92,"@USAirways weather doesn't excuse poor customer service, lack of info from staff or the fact staff haven't turned up"
93,"@USAirways Yes, there is horrible snow. But seriously, can you not hire more people to answer the phones? Competitor have call back numbers."
94,@united I need assistance with pulling your agents' heads out of their asses
95,@SouthwestAir @TifffyHuang I met my twitter friend waiting outside the Troubadour #DestinationDragons http://t.co/lf69waf5ad
96,@SouthwestAir the new logo is going to look amazing on the airplanes
97,@SouthwestAir hello. my flight is Cancelled Flightled for #destinationdragons and no one at your desk at KCI knows what the fuck is happening!!!!!!!!
98,@USAirways @FAANews how can I be stuck on a plane due to snow in Boston when it's not actually snowing in Boston?  Usair flight 2218 #US2218
99,@united   It's too bad UA has had another unforeseeable operational issue on my return flight.
100,"@united tried calling too, but w/25 min phn wait means we'd miss options anyway"
101,@JetBlue any info on why flight 704 from SJU to JFK is already delayed 2 1/2 hours?
102,@JetBlue at what point in delays can I take a different flight to my destination?
103,@united I missed it. Set up in a hotel. Flights delayed in SFO for 6+ hours. Missing all the wedding festivities of my friend. 😞
104,@JetBlue remember - I'm very doubtful and not very hopeful :(
105,@USAirways  I will never fly us airways again.
106,@USAirways this says it was estimated to leave an hour ago (it hasn't left yet) so thanks for this useful information. #TheWorstAirline
107,@united thank you for fully boarding flight 1689 this morning before noticing we had no pilots. #fail
108,@united flight Cancelled Flightled to Denver service agent offered me a non jet salt lake to Denver or red eye out of Atlanta then hung up on me.
109,"@AmericanAir @_emmaclifford No. At JFK you sort of have to guess things out. It's a small airport, so whatever."
110,@united the supervisor on situation- Stacey took all our details-no claim number given to us
111,“@united: @BattierCCIpuppy We hope to see you on board soon and thanks for the tweet. ^EY” 👏👏
112,"@USAirways  flight missed due to mech issue. No food voucher, transported to different airport, no rental reimbursement 😡"
113,@SouthwestAir so the fares I see for flights in fall are the ABSOULUTELY LOWEST they will be?
114,"@JetBlue okie doke! Knowing you, you will fix this ;)"
115,@united this airline is a joke my friends been trapped in houston since 7am sat and have no flight in sight #unitedworstever #trappedhouston
116,@USAirways over 4 weeks since you took our money and left us stranded 9 hours from home. Had to rent a car and you still have not helped us
117,@SouthwestAir Flight 4315 (N231WN) taxis at @FlyTPA prior to flight to @Fly_Nashville http://t.co/IDRa8keNoH
118,@AmericanAir - keeping AA up in the Air! My crew chief cousin Alex Espinosa in DFW! http://t.co/0HXLNvZknP
119,@AmericanAir no one met flight 1081 to LAX to tell passengers where to go or what flights they were rebooked on #badmgmt #AmericanAirlines
120,"@JetBlue what can I say, I'm #LostinLove w/our #brandmance https://t.co/Bzwgp7aDVE #wemosaictogether #Mint #Love"
121,@SouthwestAir been on hold for 1.5 hrs. What's up?
122,@AmericanAir I'm on #1058 tmrw from CUN DFW. Final dest'n is ORD. Seeing freezing rain in DFW all morning. Should I change my connection?
123,@USAirways Was told it was a software bug. Told to call back this AM  Now your system is too busy to handle any calls this AM.  Clown shoes.
124,@JetBlue Is it June yet? 😊
125,"@united 
Flight UA1665 got delayed 2 hours due to a mechanical issue...could use a free drink or 3 to make up for this inconvenience"
126,"@USAirways also, can you explain why, when I checked in, on the US Airways site, &amp; picked ""Standby for 1st"" I was not put on the list?"
127,"@AmericanAir Thank you for the worst experience ever on an airline, from me to you, I hope your embarrassed as an airline. Pathetic"
128,@USAirways denied me standby bc of checked bag in cvg 5163 to Phl @ 6..so I had to take delayed 3751 4 hrs Late Flightr...except u lost bag in cvg
129,"@USAirways told me I deserved to be delayed because I booked the last flight and then I hear ""the only inconvience is missing your flight"""
130,@united so what's the solution?
131,"@united So publicly you asked for details on my flt. Sent you a DM, like you asked, and have yet (2 days) to hear from you. #unitedfail"
132,@JetBlue Challenge accepted. First 5 crew members to send pics in the chairs get FREE tickets to visit us. #wager #IsItSummerYet
133,@AmericanAir I wait 2+ hrs for CS to call me back re why  flt is cxld/protection &amp; they hang up the minute I answer on 1st ring?
134,"@SouthwestAir app error - says click here, can't click not hyperlinked http://t.co/IH5w9nfKz2"
135,"@SouthwestAir ""...you in the 10 hrs we were hanging out there? Oh, no I understand things get crazy n sometimes 10 hours isn't long enough."""
136,@JetBlue I was so excited when I saw that you fly there! #ionlyflyblue
137,@USAirways if I try and call your reservations line will someone answer the phone now or will I be on hold for an hour again?
138,Please don't. RT “@JetBlue: Our fleet's on fleek. http://t.co/gdzadXzBYA”
139,@united screwing me over twice in one month. Learned my lesson. We are through.
140,@SouthwestAir done
141,@USAirways pilot tells me that all @AmericanAir and US Airways flights across the country have stopped due to a computer system failure.
142,@United You were doing so well until the PHL-SFO flight yesterday. Major miss. Unfriendly Premier cabin crew. Baggage cluster at SFO.
143,@AmericanAir my mom’s flight tomorrow Cancelled Flighted w/ no notice. Phone system said callback in 2 hours and it’s been 4. I need to go to bed!
144,@united already DM you my concern. Pls check.
145,"@AmericanAir I need to complain to AA, but the email form field doesn't allow enough characters for my complaint. Have a real email address?"
146,"@VirginAmerica classiq, luv Virgin America. Greetingz"
147,@USAirways I've been on hold to change a date on a ticket for over 3 hours. Can someone please assist me? Unacceptable.
148,"seriously, I want to work on the JetBlue social team RT @JetBlue: @vincenzolandino http://t.co/eiGaJyzcW2"
149,@usairways Thanks so much for ruining my vacation. I really couldn't have done it without you.
150,@SouthwestAir when will you have flights for October 2015 available?
151,@usairways Why are we waiting 40 min so far for our luggage??? #wannagohome
152,@USAirways you have to be crazy! Treated my mom very poorly. Not happy! #usairwaysfail
153,"@USAirways I left my son's Duke hat on flight #1761 last night. It says ""Mason"" on the back. Any way of locating it? Thanks in advance!"
154,@JetBlue this makes me happy. I hope these aren't empty promises.
155,@USAirways Seat 8D on Flight 545 last night is the worst seat I've ever been in.  No leg room! #dividendsmember http://t.co/NUhpLNXRIq
156,@united @parryaftab done thnx
157,@USAirways been on hold for 39 minutes and counting for a month old change fee refund request for a funeral.  This is pathetic.
158,"@united What does ""Cabin Functionality"" mean when I'm taking a customer satisfaction survey?"
159,@USAirways would be less annoying if road conditions weren't getting worse with every min U keep passengers captive for no good reason.
160,@united Ph the pat answers are BS. After I was denied boarding it sat at the gate until 9:05! Your employees totally suck.
161,"@JetBlue I'd go to Portsmouth, NH to take care of my friend's son while she takes her daughter to Boston for surgery.  #flyingitforward"
162,@AmericanAir I have looked and I was told it was in Guatemala last night. No record of anywhere today. I need my clothing for work tomorrow.
163,@USAirways @AmericanAir you know...hockey sticks are expensive. Your baggage handlers shouldn't just be throwing them on the cart.
164,".@AmericanAir: the best the agent could do is put me on a flight arriving tomorrow afternoon, with a six hour layover."
165,@JetBlue That's not weather reLate Flightd.  You are just being nice and blaming the weather.  Airport just wasn't prepared. Investigation time.
166,@USAirways your staff at LAX really messed up on this one. Failing to scan my suitcase tag.
167,"@AmericanAir if my flight gets Cancelled Flightled i should be able to reschedule to any date i want, not the next day or 2 days after"
168,@united I was. But I have given up.
169,@SouthwestAir how do I get a companion pass
170,@VirginAmerica Just DM'd. Same issue persisting.
171,@JetBlue What else could possibly take the place of coffee at that hour??Hope pilot wasn't relying on aircraft for caffeine. #needcoffee
172,"@United what the...? I go into the ""all airlines lounge"" w/ my Star Alliance Club Card in BCN only to be told Star Alliance isn't accepted"
173,"@JetBlue Domestic.  To be clear -- I do not have to sit in (your lovely) terminal, just need to be there 1 hour prior to boarding?  Thanks!"
174,@USAirways the ads on your phone systems when waiting for a rep is the most annoying thing ever especially when waiting for over 10 mins...
175,@united it's disgusting and unconscionable the treatment I've received tonight.
176,@JetBlue love traveling with Jetblue. Cant wait to go to Paris oui oui!!! NYC was awesomeee!
177,@AmericanAir Cancelled Flightled two flights from Miami to Nashville yesterday and could not get me on a flight for 3-4 days. #Southwestairwasthere
178,@united This is with regard to a flight from a couple weeks ago. I'm very frustrated with your policies &amp; expressing that.
179,@united in fact he received my boarding pass
180,@united that's of course in lax
181,@AmericanAir please do something about boarding at DCA 35X. Many delays + buses to planes on tarmac despite empty gates. Disorganized mess.
182,"@JetBlue That's right! :) Game, set, match."
183,@united new 737 plane; wifi: not working. Entertainment: non existent. New Seats: seriously uncomfortable. Really? #unitedfail UA1550
184,@USAirways sad experience today on 4663.  Family on Southwest direct to MCO. My loyalty to USAir = not vacationing with my boys today.
185,@united how about plowing the snow at a gate before the plane arrives so we don't sit for 45 minutes after an 8 hr flight.... Fail
186,@AmericanAir the reservation system won't even let us leave our phone #. I have no way to fix that you rebooked me on wrong day!
187,"@USAirways where's my bag?  You called at noon promising it today, would like an update like your website promises.  I need that bag!"
188,@SouthwestAir if you are giving tix to #DestinationDragons show would appreciate one or two for LA😄Flying from PHL to LAX on Friday
189,@JetBlue ’s Marty St. George really has zero clue. How does he still have a job? #nobaggagefees http://t.co/tjDzaMHPEw
190,"@SouthwestAir now accepting #Apple's Passbook app for boarding passes. App works on #iPhone &amp; #iPodTouch, not #iPad. http://t.co/XxSaomBdGS"
191,@VirginAmerica Man of steel flies to more cities though...and with more frequency too.
192,@USAirways thanks for Cancelled Flighting flight 5097 today. Now missing required training. Not a happy customer.
193,@AmericanAir you have the worst reps at Jacksonville airport. So rude and totally not helpful at all!
194,@united thanks for not letting me switch flights Bc I had a checked bag then Cancelled Flighting my flight forcing me to take another 3 hrs Late Flightr!
195,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .
196,.@USAirways we have no choice but to pay another $50 to go to the airport in the hopes that we will be treated better by a rep.
197,@united this happens all the time.  United pilots are always in the exit row.  America treats there customers better than their employees.
198,"@united typical caned response from UA, fix your crappy performing, last placed/ranked airline in this century!"
199,@united still waiting to hear back. My wallet was stolen from one of your planes so would appreciate a resolution here
200,"@JetBlue No, it is one I'm trying to make, but it is probably too Late Flight. I did not see an email that I could call. Pittsburgh International."
201,@united flight UA3364 been sitting on tarmac for 30 mins with no report as to why...any input?
202,"@VirginAmerica Anytime, sugafly."
203,@JetBlue disappointed with the missed connection from ROC to SLC and no reimbursement even tho friend who is a pilot said it was due to ATC
204,@USAirways @_RobPrice  how can he try again it will be 5-6 hours before he gets help.  Contingency plans non existent.
205,@SouthwestAir trying to get anyone on phone. Flt Cancelled Flighted. Please get me to Denver.
206,@SouthwestAir  3 flights yesterday; no treats but nuts and pretzels. Also no origami in the magazine. New policies? #OldPoliciesWayBetter
207,@united now finally in memphis. Landed 30 minutes ago. Still no bags. Paying for a service that just gets worse...
208,@AmericanAir how do I see your report team?
209,@SouthwestAir Didn't see travel had to be compete for unused funds by expiration date hidden in the fine print. Never saw that before.
210,@united what's with the layover in Canada from the UA125? Is that scheduled?
211,@JetBlue I just wanted to say flight attendant fitz was the best tonight on flight #1326 bwi/Bos. Great guy and made the flight fantastic!
212,"@united you all do a wonderful job today. Got my wife, daughter, and myself from PGH to Orlando after out flight was delayed luggage and all"
213,@United I have never been so grossed out in my life. What a disappointment-yet again-flying with you.
214,@AmericanAir I think 2 weeks of waiting is more than enough time for you to contact me.  This is why you lose customers
215,"@VirginAmerica moved my seat with no notice. ""Better seat"" is cabin select not behind the row I selected👎 #DISAPPOINTED"
216,@JetBlue on hold for 30 mins placed on hold then hung up on 2nd time in 2 days Only looking for group rates. BOS-SJU 5-12 to 5-19 10 people
217,Hey @united you've upgraded me on a 10 hour International flight. I forgive you :-) thank you!
218,@united Shame that there's no flex to tickets transfer rules.  Even calling from Neurosurgery ICU isn't enough!
219,@VirginAmerica You should still develop an app - then you will be my favorite airline.
220,@USAirways Plus a US Airways - you need to do something about this! I left Philly to thaw out!!!! http://t.co/pKy7ZhnNRH
221,@USAirways dealing w fam emergency. Was told was rebooked this am to AA flight 4297 out of ORD and now it's not in system. Need help ASAP.
222,"@united so going forward, I shouldn't be Flight Booking Problems Star Alliance flights through the United App?"
223,"@AmericanAir ""We'll drop off your luggage 24 hours after your flight"" is ridiculous."
224,"@USAirways Aye, and nothing to do with an automated system which doesn't work properly. Anyway, got through to somebody..."
225,@united hold for 30 minutes finally got someone and they retook my form of payment and confirmed that my reservation was set. I tried to
226,@AmericanAir I'll DM you.
227,@united I have flown with you 10 times in the last 13 days. 8 out of 10 flights have been delayed. Huge mistake on my part. Don't fly united
228,JetBlue reading the NYTimes. “@JetBlue: Our fleet's on fleek. http://t.co/lvIrTDtqly”
229,@united your agents forced me to check a carry on bag. When I received my bag I found your crew had stolen from me. U lost my business!
230,@USAirways will you fly me to somewhere warm? I'm tired of this snow! :(
231,@USAirways on time today and from PHL! Nice work! #ThereIsAFirstForEverything
232,@AmericanAir me because it might not be so urgent for you but it really is for me. (5)
233,@JetBlue anything serious I should worry about?
234,"@united fair enough, but it stinks to be the passenger on the plane that leaves the gate then sits on the tarmac for an hour before takeoff"
235,@usairways @AmericanAir LAX connect from term 6 to term 4.  55min layover due to delay. US755-AA2595. Is this realistic? Can 2595 be held?
236,@united made me remove 1 pound from my checked bag otherwise they would charge me $200. Loyal flier for 10 years - time for change.
237,"@USAirways I'm delayed in TYS #5015, likely gonna miss my connection in CLT to CUN. Gotta get there today. Can you help me?"
238,@USAirways  in don't have it on me at the time as I am taking Amtrak home. How do we call for partial refunds?
239,"@JetBlue friendly, engaging, personable, handled clarifying questions about baggage fees well, and took an interest in what I was doing."
240,@JetBlue @airbusintheus A320 landing @aruba_airport in February of 2014. #avgeek #warmweather https://t.co/Kaej9G0CHd
241,"@USAirways @AmericanAir have been trying to call customer service since 9pm. After an hour, was disconnected. Spoke to no one"
242,"Hey @JetBlue, that's a sexy tattoo you got there on your left engine. #Jetbae http://t.co/Ox4w6KtsGI"
243,@united has terrible customer service &amp; doesn't feel the need to notify its customers when their flights are delayed
244,"@USAirways Will the nightmare ever end? Just found out our flight today is delayed due to ""ground handling delays affecting a prior flight."""
245,@JetBlue we were supposed to be Vieques by 3pm
246,@JetBlue Thank you for the JetBlue Credit. Nice save :-)
247,@united -today the staff @ MSP took customer service to a new level. My father passed away last night &amp; you helped me get home today! Thanks
248,@USAirways your service sucks.
249,@united that's why I blame your company. Because it had every opportunity to do a job and managed to fail each time for just lazy reasons
250,@United can you help me get from IAH to SFO earlier tonight?
251,@united united flight UA3774 after two delays just Cancelled Flightled no explanation &amp; no more flights to Norfolk that aren't booked. Renting a car.
252,@USAirways then she had to get her own hotel so ur agents did nothing to help and to top it off you sent her luggage on the wrong flight!!!
253,@AmericanAir thanks for getting back to me. But I will find other airlines in the future.
254,@AmericanAir AA 2258 why have you Cancelled Flightled our flight without courtesy of notifying us or alternatives?  Very poor.
255,"@united Actually, the flight was just Cancelled Flightled! http://t.co/Qf0Oc2HqeZ"
256,"@JetBlue lmfao, i love it"
257,@SouthwestAir Thanks. 436. Only a minor delay so not a big deal. :)Appreciate the concern though. Boarding now. You do have amazing service!
258,@SouthwestAir want go from New Orleans houston see my dad at md anderson can you help me out
259,@DeltaAssist what I have to say is more than 140 characters! Plus you don't follow me
260,@USAirways a member of your staff at PHL just gave us excellent customer care. Shame the same couldn't be said for the past 24 hours.
261,@USAirways so I can make a reservation
262,@AmericanAir #AATeam thanks for working in very rigorous weather conditions for all
263,@USAirways Ever sit on hold and just lose track of time? http://t.co/Yqhk8LJaBN
264,@JetBlue? | RT @WMCActionNews5: New airline expected to make its way to MEM http://t.co/P6eef1zWzc
265,@USAirways an award travel ticket but cannot since it is under a different last name. I simply need to change it
266,"@USAirways if you mean by posted, no USAir empl to direct anyone, 800# not accepting calls, no contact from USAir re: rebook #greatjob"
267,@SouthwestAir Thanks I just sent a DM with this info.
268,@SouthwestAir  Your Terry is our hero! Got my husband back thru security to retrieve cellphone left on plane in Austin. Terry #85832 U Rock!
269,@VirginAmerica I love your guy's song! We're dancing to it for our high school dance revue
270,"@united Not sure what happened @ MSP yesterday, but VERY UNHAPPY my bag was not only delayed, but sat at MSP for 8 hrs b4 delivery @ 2:30 am"
271,@united Monday evening.
272,@SouthwestAir thank you :)
273,@united should have been able to get seat assign without paying $174 more - cust sec should have done that for me
274,"@AmericanAir Thanks gang! Mind if I ask, do you handle all of your Social Media in house?"
275,"@SouthwestAir I use to #LUV swa but after an hour and counting on hold, for a flight they Cancelled Flighted on me? #noluv"
276,last trip on @AmericanAir ... Poor customer service 3 trips in a row! @Delta here I come!
277,@AmericanAir thanks for the show! 👍
278,"@united This is probably the least dependable airline in the Western Hemisphere. @united does not belong in Star Alliance, but SkyTeam"
279,.@JetBlue yes. Filed a claim and they issued $30 credit as a courtesy. The whole thing seems exceptionally uncourteous to me.
280,@JetBlue what is happening with the flight from FLL to SFO? Why the delay and the reroute?
281,@united Case ID 8544484
282,@USAirways pls get me back to Tallahassee:( no one should ever have to be stranded in Gainesville for this long😒
283,@USAirways if I cant get through to reservations how can they take a look? 2+ hour hold times are not reasonable in any industry!
284,@united what a pointless tweet. At least @AmericanAir asked me to follow them to try and resolve
285,@USAirways No flights out of Philly because of system wide tech issue.   @CBSPhilly
286,"@JetBlue I may not make my connection and need to find out my options, yet no one is here."
287,@SouthwestAir has the WORST customer service of any airline I've ever flown.
288,"@SouthwestAir I understand. But it's consistent, and been consistent for years. It's known around the country."
289,@SouthwestAir Pres/CEO Gary Kelly at #TheRoFo addressing 2000 of his BWI based employees. @cbsbaltimore http://t.co/OI32uq2tTZ
290,@united thanks
291,"@americanair Greatest Newark Gate Agents ever: David Deane, Norma Sedholm and Luz Calderon just made me feel like a king. #AmericanAirlines"
292,@USAirways why load us on the flight if the captain was over the hours he could fly in one consecutive period? Unacceptable.
293,@JetBlue Yeah I have! I'm on it!! Looking for specific dates - I will just keep checking daily for a fare drop
294,@united Gold Star for united- change my flight- miss all connections- but can't accommodate me until a MUCH Late Flightr arrival time-Not HAPPY!
295,@USAirways- can you tell me what the policy is for preboarding with small children? Is that still a thing?
296,@united the person is currently bettween gates 71A and 73 in LAX
297,"@JetBlue 162, SMF to JFK!"
298,"@AmericanAir @ezemanalyst why don't you tweet canned, impersonal responses as though this is the only impatient customer you've got"
299,@united KN: not allowing me to bypass the receipt # on the refund request form. Never received receipt email. charged http://t.co/Cju102xP2k
300,@USAirways shout out to the pilots and FC attendant(Eliz) of US 673. Super strong crosswinds during landing. Eliz did a super job throughout
301,@USAirways why would you board ppl on a plane b4 its their turn to de-ice? Why would you have ppl then wait through the hour long process?
302,"@AmericanAir I will and I will share with many, many others. #filmcrew #media @WSJ @nytimes @latimes @chicagotribune"
303,@united i will never be flying with #UnitedAirlines ever again. $285 for checked bags? All under 50lbs? #angrycustomer #unitedairlinessuck
304,@JetBlue saving my sanity. Leaving it behind for sunshine. #escape #FL #bliss #travel #InDenial #WhatFrozenPipes http://t.co/6TtzEJV3hY
305,@AmericanAir Thank you so much.
306,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!
307,"@united yep—used that twice; no case id numbers assigned; just tried it again-get screen that says, “thank you for submitting your request”"
308,@united - my son left his tablet on plane.  Am out of country and can not call easily.  Is there an email to contact?
309,@USAirways can I bring a copy or photo of my baby's birth certificate for the flight? I feel uncomfortable traveling with the real thing.
310,@united That's real dedication &amp; concern. Your apologies don't fix the issue nor any of the miserable issues I've had over the past 6 mos.
311,@AmericanAir I have to miss a whole days worth of work tomorrow but I'm suree you guys don't care
312,@SouthwestAir way to fuck up and lose @c_istudios bags. My husband has no warm clothes and no equipment. #youdidit #notcool
313,"@AmericanAir why do you continually play the ""according to federal regulations"" every 58 seconds. I could see if you had quicker service..."
314,"@JetBlue She claimed that she did, but I was not happy with the way I was treated."
315,@SouthwestAir had to rebook through Atlanta &amp; now drive to #Nashville. Had to pay ridiculous price difference. Bad weather good for business
316,@USAirways pretty upset I drove from Philly to MHtT still no info on my bags. What's the deal!
317,"@USAirways see? No response? Obviously you think this ""service"" is acceptable. #customerservicefail"
318,"@JetBlue it's been 3 hours, why have you not sent the plane from the hangar for flight 1533 at JFK? This is absolutely ridiculous."
319,"@VirginAmerica, the only airline based in Silicon Valley! #disruption #FCmostinnovative #incubator  @FastCompany's http://t.co/wU3LbCNcr9"
320,@united UA5396 can wait for me. I'm on the ground trying to get to the gate after we were moved to B. This is crap.
